date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:23	369642/369642	---MCZ	200	added ('OK')	text/html	etag:W/%22a19e07f6e10f46ee98d7e136b0150629%22	https://speedx-fashion-1.myharavan.com/	E:/speaddx/speedx-fashion-1.myharavan.com/index.html	(from )
10:55:23	317/317	---MCZ	200	added ('OK')	text/plain	date:Thu,%2023%20Feb%202023%2003:55:23%20GMT	https://speedx-fashion-1.myharavan.com/robots.txt		(from )
10:55:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2023%20Feb%202023%2003:55:24%20GMT	http://file.hara.vn/1000113711/file/favicon_0264a241ad4a42b3a3912ebc01444768_96x96.png	E:/speaddx/file.hara.vn/1000113711/file/favicon_0264a241ad4a42b3a3912ebc01444768_96x96.0.delayed	(from https://speedx-fashion-1.myharavan.com/)
10:55:25	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Feb%202023%2003:55:25%20GMT	https://file.hara.vn/1000113711/file/favicon_0264a241ad4a42b3a3912ebc01444768_96x96.png	E:/speaddx/file.hara.vn/1000113711/file/favicon_0264a241ad4a42b3a3912ebc01444768_96x96.1.delayed	(from https://speedx-fashion-1.myharavan.com/)
10:55:27	328883/328883	---MCZ	200	added ('OK')	text/css	etag:W/%22f974e6e2bbcd61d548105abd84f57c5a%22	http://theme.hstatic.net/200000542485/1000893090/14/theme.css?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/themecf6d.css	(from https://speedx-fashion-1.myharavan.com/)
10:55:27	64635/64635	---MCZ	200	added ('OK')	application/javascript	etag:W/%222cf0818597ae7137e35b7bb5cb9880fa%22	http://theme.hstatic.net/200000542485/1000893090/14/vendor.js?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/vendorcf6d.js	(from https://speedx-fashion-1.myharavan.com/)
10:55:29	8246/8246	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e44fcdf78740076c1b29fbc84cc6bbf3%22	http://theme.hstatic.net/200000542485/1000893090/14/filter.js?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/filtercf6d.js	(from https://speedx-fashion-1.myharavan.com/)
10:55:31	13041/13041	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2020%20Apr%202019%2003:53:30%20GMT	http://hstatic.net/0/0/global/api.jquery.js	E:/speaddx/hstatic.net/0/0/global/api.jquery.js	(from https://speedx-fashion-1.myharavan.com/)
10:55:31	19839/19839	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2020%20Apr%202019%2003:53:02%20GMT	http://hstatic.net/0/0/global/option_selection.js	E:/speaddx/hstatic.net/0/0/global/option_selection.js	(from https://speedx-fashion-1.myharavan.com/)
10:55:31	260609/260609	---MCZ	200	added ('OK')	application/javascript	etag:W/%2244ccd104ed28377bdd56a2bb26448cce%22	http://theme.hstatic.net/200000542485/1000893090/14/theme.js?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/themecf6d.js	(from https://speedx-fashion-1.myharavan.com/)
10:55:31	4363/4363	---MCZ	200	added ('OK')	text/css	etag:W/%22b58c0a2c69d243815adcad0ef75550a9%22	http://theme.hstatic.net/200000542485/1000893090/14/theme.custom.css?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/theme.customcf6d.css	(from https://speedx-fashion-1.myharavan.com/)
10:55:32	96381/96381	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2020%20Apr%202019%2023:15:18%20GMT	http://hstatic.net/0/0/global/design/js/jquery.min.1.11.0.js	E:/speaddx/hstatic.net/0/0/global/design/js/jquery.min.1.11.0.js	(from https://speedx-fashion-1.myharavan.com/)
10:55:32	32705/32705	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d945a090c45241%22	https://stats.hstatic.net/beacon.min.js	E:/speaddx/stats.hstatic.net/beacon.min.js	(from https://speedx-fashion-1.myharavan.com/)
10:55:33	61343/61343	---MCZ	200	added ('OK')	text/html	etag:W/%22c2492aaae4f447198babcc63d465a2b9%22	https://speedx-fashion-1.myharavan.com/blogs/news	E:/speaddx/speedx-fashion-1.myharavan.com/blogs/news.html	(from https://speedx-fashion-1.myharavan.com/)
10:55:33	168853/168853	---MCZ	200	added ('OK')	text/html	etag:W/%22af3e146dd07740f986e2c3d154478680%22	https://speedx-fashion-1.myharavan.com/collections/all	E:/speaddx/speedx-fashion-1.myharavan.com/collections/all.html	(from https://speedx-fashion-1.myharavan.com/)
10:55:34	51977/51977	---MCZ	200	added ('OK')	text/html	etag:W/%22d70a69d4b4dc4e06b97bd594ba8e551e%22	https://speedx-fashion-1.myharavan.com/pages/about-us	E:/speaddx/speedx-fashion-1.myharavan.com/pages/about-us.html	(from https://speedx-fashion-1.myharavan.com/)
10:55:35	53582/53582	---MCZ	200	added ('OK')	text/html	etag:W/%2286e0493ddb744489a934677c7bf5174f%22	https://speedx-fashion-1.myharavan.com/pages/lien-he	E:/speaddx/speedx-fashion-1.myharavan.com/pages/lien-he.html	(from https://speedx-fashion-1.myharavan.com/)
10:55:36	1833/1833	---M--	200	added ('OK')	image/png	etag:%229fa9c26a5988b32a57a19cd4e4fe48eb%22	http://theme.hstatic.net/200000542485/1000893090/14/logo.png?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/logocf6d.png	(from https://speedx-fashion-1.myharavan.com/)
10:55:36	49960/49960	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2003:55:35%20GMT	https://speedx-fashion-1.myharavan.com/search	E:/speaddx/speedx-fashion-1.myharavan.com/search.html	(from https://speedx-fashion-1.myharavan.com/)
10:55:36	52674/52674	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2003:55:36%20GMT	https://speedx-fashion-1.myharavan.com/account/login	E:/speaddx/speedx-fashion-1.myharavan.com/account/login.html	(from https://speedx-fashion-1.myharavan.com/)
10:55:36	46380/46380	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2003:55:36%20GMT	https://speedx-fashion-1.myharavan.com/cart	E:/speaddx/speedx-fashion-1.myharavan.com/cart.html	(from https://speedx-fashion-1.myharavan.com/)
10:55:37	420657/420657	---M--	200	added ('OK')	image/png	etag:%2286bfbe9c40d07a8d9462052e35a6db63%22	https://file.hstatic.net/200000542485/file/group_17805_fcc98e8a6e704af68cb4458df04798f6.png	E:/speaddx/file.hstatic.net/200000542485/file/group_17805_fcc98e8a6e704af68cb4458df04798f6.png	(from https://speedx-fashion-1.myharavan.com/)
10:55:40	182138/182138	---M--	200	added ('OK')	image/png	etag:%22aa4aa1a8d6e67376dec854b176a7785d%22	https://file.hstatic.net/200000542485/file/final_slide_mobi_1_0326a86cf22e4ebfb952344a3d131b5e.png	E:/speaddx/file.hstatic.net/200000542485/file/final_slide_mobi_1_0326a86cf22e4ebfb952344a3d131b5e.png	(from https://speedx-fashion-1.myharavan.com/)
10:55:40	132082/132082	---M--	200	added ('OK')	image/jpeg	etag:%224986530ab0af61506dd60af946ce4006%22	https://file.hstatic.net/200000542485/file/slider-2_464cb4caa174485086237d224f4fb5cf.jpg	E:/speaddx/file.hstatic.net/200000542485/file/slider-2_464cb4caa174485086237d224f4fb5cf.jpg	(from https://speedx-fashion-1.myharavan.com/)
10:56:04	148439/148439	---M--	200	added ('OK')	image/png	etag:%22b01fda2e14f65fb760ee2fa88451fa5d%22	http://theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_0_image.png?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_0_imagecf6d.png	(from https://speedx-fashion-1.myharavan.com/)
10:56:08	165300/165300	---M--	200	added ('OK')	image/png	etag:%22b457ff19ff154ca9b3ac65ac3a3deacc%22	http://theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_2_image.png?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_2_imagecf6d.png	(from https://speedx-fashion-1.myharavan.com/)
10:56:11	189101/189101	---M--	200	added ('OK')	image/png	etag:%222a748ce462290a90f96174b7b735aaba%22	http://theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_1_image.png?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_1_imagecf6d.png	(from https://speedx-fashion-1.myharavan.com/)
10:56:14	231794/231794	---M--	200	added ('OK')	image/png	etag:%22b7e7411c5b967a631ea36edb0509cbb6%22	https://file.hstatic.net/200000542485/file/final_slide_mobi_2_88c8112b009a4d668af892b66992f5cb.png	E:/speaddx/file.hstatic.net/200000542485/file/final_slide_mobi_2_88c8112b009a4d668af892b66992f5cb.png	(from https://speedx-fashion-1.myharavan.com/)
10:56:25	104629/104629	---M--	200	added ('OK')	image/png	etag:%22e57cf8372a3a366eb767b0362bef77d1%22	http://theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_4_image.png?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_4_imagecf6d.png	(from https://speedx-fashion-1.myharavan.com/)
10:56:30	114872/114872	---MCZ	200	added ('OK')	text/html	etag:W/%22393f94a00c8f4aacaeb2ad26185ba9cd%22	https://speedx-fashion-1.myharavan.com/products/vay-xinh-bo-suu-tap-xuan-2022	E:/speaddx/speedx-fashion-1.myharavan.com/products/vay-xinh-bo-suu-tap-xuan-2022.html	(from https://speedx-fashion-1.myharavan.com/)
10:56:31	171571/171571	---M--	200	added ('OK')	image/png	etag:%22f10f38345d27ad0303e1f7c217b65249%22	http://theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_3_image.png?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_3_imagecf6d.png	(from https://speedx-fashion-1.myharavan.com/)
10:56:33	142887/142887	---M--	200	added ('OK')	image/png	etag:%221cdcf7afaef88f8645ab476691c87610%22	http://theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_5_image.png?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_5_imagecf6d.png	(from https://speedx-fashion-1.myharavan.com/)
10:56:35	151496/151496	---M--	200	added ('OK')	image/png	etag:%22eb139435907a381a31037b1b0cb726a1%22	http://theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_6_image.png?v=3035	E:/speaddx/theme.hstatic.net/200000542485/1000893090/14/homepage_1_collection_gallery_6_imagecf6d.png	(from https://speedx-fashion-1.myharavan.com/)
10:56:40	54453/54453	---M--	200	added ('OK')	image/png	etag:%225cc95aed002fad8f91d570bf6cff79b8%22	http://product.hstatic.net/200000542485/product/246_c02666ce0cd546ee8715a7cc67e66a1f_master_result_20482ec79f684eaf994012a17d62789e_large.png	E:/speaddx/product.hstatic.net/200000542485/product/246_c02666ce0cd546ee8715a7cc67e66a1f_master_result_20482ec79f684eaf994012a17d62789e_large.png	(from https://speedx-fashion-1.myharavan.com/)
10:56:44	64919/64919	---MCZ	200	added ('OK')	text/html	etag:W/%22b0d744d9bbf248a7a26a74118b4bbd65%22	https://speedx-fashion-1.myharavan.com/products/vay-xinh-bo-suu-tap-xuan-2022?view=quick-buy-popover	E:/speaddx/speedx-fashion-1.myharavan.com/products/vay-xinh-bo-suu-tap-xuan-2022e43a.html	(from https://speedx-fashion-1.myharavan.com/)
